,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,NasdaqCM:PCYO,-0.897,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1992-01-01,NasdaqCM:PCYO,-0.897,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,NasdaqCM:PCYO,-0.897,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1992-01-03,NasdaqCM:PCYO,-0.9357,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1992-01-06,NasdaqCM:PCYO,-0.9357,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1992-01-07,NasdaqCM:PCYO,-0.9357,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1992-01-08,NasdaqCM:PCYO,-0.9357,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1992-01-09,NasdaqCM:PCYO,-0.9357,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1992-01-10,NasdaqCM:PCYO,-0.9567,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1992-01-13,NasdaqCM:PCYO,-0.9567,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1992-01-14,NasdaqCM:PCYO,-0.9567,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1992-01-15,NasdaqCM:PCYO,-0.9567,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1992-01-16,NasdaqCM:PCYO,-0.9567,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1992-01-17,NasdaqCM:PCYO,-1.0696,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1992-01-20,NasdaqCM:PCYO,-1.0696,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1992-01-21,NasdaqCM:PCYO,-1.0696,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1992-01-22,NasdaqCM:PCYO,-1.0696,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1992-01-23,NasdaqCM:PCYO,-1.0696,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1992-01-24,NasdaqCM:PCYO,-1.0479,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1992-01-27,NasdaqCM:PCYO,-1.0479,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1992-01-28,NasdaqCM:PCYO,-1.0479,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1992-01-29,NasdaqCM:PCYO,-1.0479,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1992-01-30,NasdaqCM:PCYO,-1.0479,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1992-01-31,NasdaqCM:PCYO,-1.3782,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1992-02-03,NasdaqCM:PCYO,-1.3782,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1992-02-04,NasdaqCM:PCYO,-1.3782,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1992-02-05,NasdaqCM:PCYO,-1.3782,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1992-02-06,NasdaqCM:PCYO,-1.3782,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1992-02-07,NasdaqCM:PCYO,-1.559,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1992-02-10,NasdaqCM:PCYO,-1.559,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1992-02-11,NasdaqCM:PCYO,-1.559,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1992-02-12,NasdaqCM:PCYO,-1.559,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1992-02-13,NasdaqCM:PCYO,-1.559,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1992-02-14,NasdaqCM:PCYO,-1.6208,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1992-02-17,NasdaqCM:PCYO,-1.6208,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1992-02-18,NasdaqCM:PCYO,-1.6208,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1992-02-19,NasdaqCM:PCYO,-1.6208,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1992-02-20,NasdaqCM:PCYO,-1.6208,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1992-02-21,NasdaqCM:PCYO,-1.4147,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1992-02-24,NasdaqCM:PCYO,-1.4147,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1992-02-25,NasdaqCM:PCYO,-1.4147,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1992-02-26,NasdaqCM:PCYO,-1.4147,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1992-02-27,NasdaqCM:PCYO,-1.4147,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1992-02-28,NasdaqCM:PCYO,-1.2578,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1992-03-02,NasdaqCM:PCYO,-1.2578,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1992-03-03,NasdaqCM:PCYO,-1.2578,0.0,1.875,0.0,0.0,1.9198,0.0,0.0,0.0,0.0,0.0,0.0,343.6163,45.0725,45.0725,0.0,1.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38103.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
